한글명,추가명,종목코드,표준코드,시장
루트락,,253610,KR7253610000,KONEX
리가켐바이오,,141080,KR7141080002,KOSDAQ
리노공업,,058470,KR7058470006,KOSDAQ
리더스코스메틱,,016100,KR7016100000,KOSDAQ
리드코프,,012700,KR7012700001,KOSDAQ
리메드,,302550,KR7302550009,KOSDAQ
리브스메드,,491000,KR7491000006,KOSDAQ
리튬포어스,,073570,KR7073570004,KOSDAQ
리파인,,377450,KR7377450002,KOSDAQ
린드먼아시아,,277070,KR7277070009,KOSDAQ
링네트,,042500,KR7042500009,KOSDAQ
링크드,,193250,KR7193250008,KOSDAQ
링크솔루션,,474650,KR7474650009,KOSDAQ
링크제니시스,,219420,KR7219420007,KOSDAQ
마녀공장,,439090,KR7439090002,KOSDAQ
마니커,,027740,KR7027740000,KOSPI
마니커에프앤지,,195500,KR7195500004,KOSDAQ
마스턴프리미어리츠,,357430,KR7357430008,KOSPI
마음AI,,377480,KR7377480009,KOSDAQ
마이다스 일본테크액티브,,488290,KR7488290008,KOSPI
마이다스 중소형액티브,,438740,KR7438740003,KOSPI
마이다스 코스피액티브,,403790,KR7403790009,KOSPI
마이크로디지탈,,305090,KR7305090003,KOSDAQ
마이크로엔엑스,,448780,KR7448780007,KONEX
마이크로컨텍솔,,098120,KR7098120009,KOSDAQ
마이크로투나노,,424980,KR7424980001,KOSDAQ
마이티 200TR,,0112X0,KR70112X0000,KOSPI
마이티 26-09 특수채(AAA)액티브,,465780,KR7465780005,KOSPI
마이티 다이나믹퀀트액티브,,442260,KR7442260006,KOSPI
마이티 바이오시밀러&CDMO액티브,,0001P0,KR70001P0004,KOSPI
마이티 코스피100,,159800,KR7159800002,KOSPI
마크로젠,,038290,KR7038290003,KOSDAQ
만호제강,,001080,KR7001080001,KOSPI
매일유업,,267980,KR7267980001,KOSDAQ
매일홀딩스,,005990,KR7005990007,KOSDAQ
매커스,,093520,KR7093520005,KOSDAQ
맥쿼리인프라,,088980,KR7088980008,KOSPI
맵스리얼티,,094800,KR7094800000,KOSPI
머니무브,,179720,KR7179720008,KONEX
머큐리,,100590,KR7100590009,KOSDAQ
멀티캠퍼스,,067280,KR7067280008,KOSDAQ
메가스터디,,072870,KR7072870009,KOSDAQ
메가스터디교육,,215200,KR7215200007,KOSDAQ
메가엠디,,133750,KR7133750000,KOSDAQ
메가터치,,446540,KR7446540007,KOSDAQ
메드팩토,,235980,KR7235980000,KOSDAQ
메디쎄이,,200580,KR7200580009,KONEX
메디아나,,041920,KR7041920000,KOSDAQ
메디안디노스틱,,233250,KR7233250000,KONEX
메디앙스,,014100,KR7014100002,KOSDAQ
메디젠휴먼케어,,236340,KR7236340006,KONEX
메디콕스,,054180,KR7054180005,KOSDAQ
메디톡스,,086900,KR7086900008,KOSDAQ
메디포스트,,078160,KR7078160009,KOSDAQ
메리츠금융지주,,138040,KR7138040001,KOSPI
메리츠제1호스팩,,0088D0,KR70088D0004,KOSDAQ
메쎄이상,,408920,KR7408920007,KOSDAQ
메이슨캐피탈,,021880,KR7021880000,KOSDAQ
메지온,,140410,KR7140410002,KOSDAQ
메카로,,241770,KR7241770007,KOSDAQ
메타랩스,,090370,KR7090370008,KOSPI
메타바이오메드,,059210,KR7059210005,KOSDAQ
메타케어,,118000,KR7118000009,KOSPI
멕아이씨에스,,058110,KR7058110008,KOSDAQ
멤레이비티,,072770,KR7072770001,KOSDAQ
명문제약,,017180,KR7017180001,KOSPI
명신산업,,009900,KR7009900002,KOSPI
명인제약,,317450,KR7317450005,KOSPI
모나리자,,012690,KR7012690004,KOSPI
모나미,,005360,KR7005360003,KOSPI
모나용평,,070960,KR7070960000,KOSPI
모니터랩,,434480,KR7434480000,KOSDAQ
모다이노칩,,080420,KR7080420003,KOSDAQ
모델솔루션,,417970,KR7417970001,KOSDAQ
모두투어,,080160,KR7080160005,KOSDAQ
모바일어플라이언스,,087260,KR7087260006,KOSDAQ
모베이스,,101330,KR7101330009,KOSDAQ
모베이스전자,,012860,KR7012860003,KOSDAQ
모비데이즈,,363260,KR7363260001,KOSDAQ
모비릭스,,348030,KR7348030008,KOSDAQ
모비스,,250060,KR7250060001,KOSDAQ
모아데이타,,288980,KR7288980006,KOSDAQ
모아라이프플러스,,142760,KR7142760008,KOSDAQ
모아텍,,033200,KR7033200007,KOSDAQ
모코엠시스,,333050,KR7333050003,KOSDAQ
모토닉,,009680,KR7009680000,KOSPI
모트렉스,,118990,KR7118990001,KOSDAQ
모티브링크,,463480,KR7463480004,KOSDAQ
모헨즈,,006920,KR7006920003,KOSDAQ
무림P&P,무림피앤피,009580,KR7009580002,KOSPI
무림SP,,001810,KR7001810001,KOSDAQ
무림페이퍼,,009200,KR7009200007,KOSPI
무진메디,,322970,KR7322970005,KONEX
무학,,033920,KR7033920000,KOSPI
문배철강,,008420,KR7008420002,KOSPI
미디어젠,,279600,KR7279600001,KOSDAQ
미래나노텍,,095500,KR7095500005,KOSDAQ
미래반도체,,254490,KR7254490006,KOSDAQ
미래산업,,025560,KR7025560004,KOSPI
미래생명자원,,218150,KR7218150001,KOSDAQ
미래아이앤지,,007120,KR7007120009,KOSPI
미래에셋글로벌리츠,,396690,KR7396690000,KOSPI
미래에셋맵스리츠,,357250,KR7357250000,KOSPI
미래에셋벤처투자,,100790,KR7100790005,KOSDAQ
미래에셋비전스팩10호,,0097F0,KR70097F0001,KOSDAQ
미래에셋비전스팩11호,,0099W0,KR70099W0008,KOSDAQ
미래에셋비전스팩4호,,477380,KR7477380000,KOSDAQ
미래에셋비전스팩5호,,477470,KR7477470009,KOSDAQ
미래에셋비전스팩6호,,478440,KR7478440001,KOSDAQ
미래에셋비전스팩7호,,482680,KR7482680006,KOSDAQ
미래에셋비전스팩8호,,0093G0,KR70093G0004,KOSDAQ
미래에셋비전스팩9호,,0096D0,KR70096D0004,KOSDAQ
미래에셋생명,,085620,KR7085620003,KOSPI
미래에셋증권,,006800,KR7006800007,KOSPI
미래에셋증권2우B,,00680K,KR700680K019,KOSPI
미래에셋증권우,,006805,KR7006801005,KOSPI
미래엔에듀파트너,,208890,KR7208890004,KONEX
미래컴퍼니,,049950,KR7049950009,KOSDAQ
미스터블루,,207760,KR7207760000,KOSDAQ
미스토홀딩스,,081660,KR7081660003,KOSPI
미원상사,,002840,KR7002840007,KOSPI
미원에스씨,,268280,KR7268280005,KOSPI
미원홀딩스,,107590,KR7107590002,KOSPI
미원화학,,134380,KR7134380005,KOSPI
미쥬,,351020,KR7351020003,KONEX
미창석유,,003650,KR7003650009,KOSPI
미코,,059090,KR7059090001,KOSDAQ
미투온,,201490,KR7201490000,KOSDAQ
미트박스,,475460,KR7475460002,KOSDAQ
민테크,,452200,KR7452200009,KOSDAQ
바디텍메드,,206640,KR7206640005,KOSDAQ
바른손,,018700,KR7018700005,KOSDAQ
바른손이앤에이,,035620,KR7035620004,KOSDAQ
바스칸바이오제약,,354390,KR7354390007,KONEX
바이넥스,,053030,KR7053030003,KOSDAQ
바이브컴퍼니,,301300,KR7301300000,KOSDAQ
바이오노트,,377740,KR7377740006,KOSPI
바이오니아,,064550,KR7064550007,KOSDAQ
바이오다인,,314930,KR7314930009,KOSDAQ
바이오비쥬,,489460,KR7489460006,KOSDAQ
바이오솔루션,,086820,KR7086820008,KOSDAQ
바이오스마트,,038460,KR7038460002,KOSDAQ
바이오에프디엔씨,바이오FD&C,251120,KR7251120002,KOSDAQ
바이오인프라,,199730,KR7199730003,KOSDAQ
바이오인프라생명과학,,266470,KR7266470004,KONEX
바이오텐,,289170,KR7289170003,KONEX
바이오톡스텍,,086040,KR7086040003,KOSDAQ
바이오포트,,188040,KR7188040000,KOSDAQ
바이오프로테크,,199290,KR7199290008,KONEX
바이오플러스,,099430,KR7099430001,KOSDAQ
바이온,,032980,KR7032980005,KOSDAQ
바이젠셀,,308080,KR7308080001,KOSDAQ
바텍,,043150,KR7043150002,KOSDAQ
박셀바이오,,323990,KR7323990002,KOSDAQ
방림,,003610,KR7003610003,KOSPI
배럴,,267790,KR7267790004,KOSDAQ
백금T&A,,046310,KR7046310009,KOSDAQ
백산,,035150,KR7035150002,KOSPI
밸로프,,331520,KR7331520007,KOSDAQ
뱅크웨어글로벌,,199480,KR7199480005,KOSDAQ
버넥트,,438700,KR7438700007,KOSDAQ
버킷스튜디오,,066410,KR7066410002,KOSDAQ
범양건영,,002410,KR7002410009,KOSPI
범한퓨얼셀,,382900,KR7382900009,KOSDAQ
베노티앤알,,206400,KR7206400004,KOSDAQ
베뉴지,,019010,KR7019010008,KOSDAQ
베셀,,177350,KR7177350006,KOSDAQ
벡트,,457600,KR7457600005,KOSDAQ
벨로크,,424760,KR7424760007,KOSDAQ
벽산,,007210,KR7007210008,KOSPI
보라티알,,250000,KR7250000007,KOSDAQ
보락,,002760,KR7002760007,KOSPI
보령,,003850,KR7003850005,KOSPI
보로노이,,310210,KR7310210000,KOSDAQ
보성파워텍,,006910,KR7006910004,KOSDAQ
보해양조,,000890,KR7000890004,KOSPI
본느,,226340,KR7226340008,KOSDAQ
본시스템즈,,496320,KR7496320003,KONEX
볼빅,,206950,KR7206950008,KONEX
부광약품,,003000,KR7003000007,KOSPI
부국증권,,001270,KR7001270008,KOSPI
부국증권우,,001275,KR7001271006,KOSPI
부국철강,,026940,KR7026940007,KOSPI
부방,,014470,KR7014470009,KOSDAQ
부산산업,,011390,KR7011390002,KOSPI
부산주공,,005030,KR7005030002,KOSPI
부스타,,008470,KR7008470007,KOSDAQ
뷰노,,338220,KR7338220007,KOSDAQ
뷰웍스,,100120,KR7100120005,KOSDAQ
뷰티스킨,,406820,KR7406820001,KOSDAQ
브레인즈컴퍼니,,099390,KR7099390007,KOSDAQ
브리지텍,,064480,KR7064480007,KOSDAQ
브이씨,,365900,KR7365900000,KOSDAQ
브이엠,,089970,KR7089970008,KOSDAQ
브이원텍,,251630,KR7251630000,KOSDAQ
브이티,,018290,KR7018290007,KOSDAQ
블랙야크아이앤씨,블랙야크I&C,478560,KR7478560006,KOSDAQ
블루산업개발,,006740,KR7006740005,KOSPI
블루엠텍,,439580,KR7439580002,KOSDAQ
블루콤,,033560,KR7033560004,KOSDAQ
블루탑,,191600,KR7191600006,KONEX
블리츠웨이엔터테인먼트,,369370,KR7369370002,KOSDAQ
비나텍,,126340,KR7126340009,KOSDAQ
비덴트,,121800,KR7121800007,KOSDAQ
비보존 제약,,082800,KR7082800004,KOSDAQ
비비씨,,318410,KR7318410008,KOSDAQ
비비안,,002070,KR7002070001,KOSPI
비상교육,,100220,KR7100220003,KOSPI
비스토스,,419540,KR7419540000,KOSDAQ
비씨엔씨,,146320,KR7146320007,KOSDAQ
비씨월드제약,,200780,KR7200780005,KOSDAQ
비아이매트릭스,,413640,KR7413640004,KOSDAQ
비아트론,,141000,KR7141000000,KOSDAQ
비에이치,,090460,KR7090460007,KOSPI
비에이치아이,,083650,KR7083650002,KOSDAQ
비엔케이제2호스팩,,473370,KR7473370005,KOSDAQ
비엔케이제3호스팩,,0068Y0,KR70068Y0003,KOSDAQ
비엘팜텍,,065170,KR7065170003,KOSDAQ
비엠티,,086670,KR7086670007,KOSDAQ
비유테크놀러지,,230980,KR7230980005,KOSDAQ
비츠로넥스텍,,488900,KR7488900002,KOSDAQ
비츠로셀,,082920,KR7082920000,KOSDAQ
비츠로시스,,054220,KR7054220009,KOSDAQ
비츠로테크,,042370,KR7042370007,KOSDAQ
비케이홀딩스,,050090,KR7050090000,KOSDAQ
비큐AI,,148780,KR7148780000,KOSDAQ
비투엔,,307870,KR7307870006,KOSDAQ
비트맥스,,377030,KR7377030002,KOSDAQ
비트컴퓨터,,032850,KR7032850000,KOSDAQ
비트플래닛,,049470,KR7049470008,KOSDAQ
비피도,,238200,KR7238200000,KOSDAQ
빅솔론,,093190,KR7093190007,KOSDAQ
빅텍,,065450,KR7065450009,KOSDAQ
빌리언스,,044480,KR7044480002,KOSDAQ
빙그레,,005180,KR7005180005,KOSPI
빛과전자,,069540,KR7069540003,KOSDAQ
빛샘전자,,072950,KR7072950009,KOSDAQ
삐아,,451250,KR7451250005,KOSDAQ
사람인,,143240,KR7143240000,KOSDAQ
사이냅소프트,,466410,KR7466410008,KOSDAQ
사조대림,,003960,KR7003960002,KOSPI
사조동아원,,008040,KR7008040008,KOSPI
사조산업,,007160,KR7007160005,KOSPI
사조씨푸드,,014710,KR7014710008,KOSPI
사조오양,,006090,KR7006090005,KOSPI
사토시홀딩스,,223310,KR7223310004,KOSDAQ
사피엔반도체,,452430,KR7452430002,KOSDAQ
산돌,,419120,KR7419120001,KOSDAQ
산일전기,,062040,KR7062040001,KOSPI
삼기,,122350,KR7122350002,KOSDAQ
삼기에너지솔루션즈,,419050,KR7419050000,KOSDAQ
삼륭물산,,014970,KR7014970008,KOSDAQ
삼목에스폼,,018310,KR7018310003,KOSDAQ
삼미금속,,012210,KR7012210001,KOSDAQ
삼보모터스,,053700,KR7053700001,KOSDAQ
삼보산업,,009620,KR7009620006,KOSDAQ
삼보판지,,023600,KR7023600000,KOSDAQ
삼부토건,,001470,KR7001470004,KOSPI
삼성E&A,,028050,KR7028050003,KOSPI
삼성FN리츠,,448730,KR7448730002,KOSPI
삼성SDI,,006400,KR7006400006,KOSPI
삼성SDI우,,006405,KR7006401004,KOSPI
삼성공조,,006660,KR7006660005,KOSPI
삼성물산,,028260,KR7028260008,KOSPI
삼성물산우B,,02826K,KR702826K016,KOSPI
삼성바이오로직스,,207940,KR7207940008,KOSPI
삼성생명,,032830,KR7032830002,KOSPI
삼성스팩10호,,0044K0,KR70044K0008,KOSDAQ
삼성스팩11호,,0071M0,KR70071M0002,KOSDAQ
삼성스팩12호,,0096B0,KR70096B0006,KOSDAQ
삼성스팩13호,,0115H0,KR70115H0007,KOSDAQ
삼성에스디에스,삼성SDS,018260,KR7018260000,KOSPI
삼성에피스홀딩스,,0126Z0,KR70126Z0002,KOSPI
삼성전기,,009150,KR7009150004,KOSPI
삼성전기우,,009155,KR7009151002,KOSPI
삼성전자,,005930,KR7005930003,KOSPI
삼성전자우,,005935,KR7005931001,KOSPI
삼성제약,,001360,KR7001360007,KOSPI
삼성중공업,,010140,KR7010140002,KOSPI
삼성증권,,016360,KR7016360000,KOSPI
삼성출판사,,068290,KR7068290006,KOSPI
삼성카드,,029780,KR7029780004,KOSPI
삼성화재,,000810,KR7000810002,KOSPI
삼성화재우,,000815,KR7000811000,KOSPI
삼아알미늄,,006110,KR7006110001,KOSPI
삼아제약,,009300,KR7009300005,KOSDAQ
삼양바이오팜,,0120G0,KR70120G0001,KOSPI
삼양사,,145990,KR7145990008,KOSPI
삼양사우,,145995,KR7145991006,KOSPI
삼양식품,,003230,KR7003230000,KOSPI
삼양엔씨켐,,482630,KR7482630001,KOSDAQ
삼양컴텍,,484590,KR7484590005,KOSDAQ
삼양케이씨아이,삼양KCI,036670,KR7036670008,KOSDAQ
삼양통상,,002170,KR7002170009,KOSPI
삼양패키징,,272550,KR7272550005,KOSPI
삼양홀딩스,,000070,KR7000070003,KOSPI
삼영,,003720,KR7003720000,KOSPI
삼영무역,,002810,KR7002810000,KOSPI
삼영에스앤씨,삼영S&C,361670,KR7361670003,KOSDAQ
삼영엠텍,,054540,KR7054540000,KOSDAQ
삼영이엔씨,삼영ENC,065570,KR7065570004,KOSDAQ
삼영전자,,005680,KR7005680004,KOSPI
삼원강재,,023000,KR7023000003,KOSPI
삼익THK,,004380,KR7004380002,KOSPI
삼익악기,,002450,KR7002450005,KOSPI
삼익제약,,014950,KR7014950000,KOSDAQ
삼일,,032280,KR7032280000,KOSDAQ
삼일기업공사,,002290,KR7002290005,KOSDAQ
삼일씨엔에스,,004440,KR7004440004,KOSPI
삼일제약,,000520,KR7000520007,KOSPI
삼정펄프,,009770,KR7009770009,KOSPI
삼지전자,,037460,KR7037460003,KOSDAQ
삼진,,032750,KR7032750002,KOSDAQ
삼진식품,,0013V0,KR70013V0002,KOSDAQ
삼진엘앤디,,054090,KR7054090006,KOSDAQ
삼진제약,,005500,KR7005500004,KOSPI
삼천당제약,,000250,KR7000250001,KOSDAQ
삼천리,,004690,KR7004690004,KOSPI
삼천리자전거,,024950,KR7024950008,KOSDAQ
삼표시멘트,,038500,KR7038500005,KOSDAQ
삼현,,437730,KR7437730005,KOSDAQ
삼현철강,,017480,KR7017480005,KOSDAQ
삼호개발,,010960,KR7010960003,KOSPI
삼화네트웍스,,046390,KR7046390001,KOSDAQ
삼화왕관,,004450,KR7004450003,KOSPI
삼화전기,,009470,KR7009470006,KOSPI
삼화전자,,011230,KR7011230000,KOSPI
삼화콘덴서,,001820,KR7001820000,KOSPI
삼화페인트,,000390,KR7000390005,KOSPI
상보,,027580,KR7027580000,KOSDAQ
상상인,,038540,KR7038540001,KOSDAQ
상상인제4호스팩,,452670,KR7452670003,KOSDAQ
상상인증권,,001290,KR7001290006,KOSPI
상신브레이크,,041650,KR7041650003,KOSPI
상신이디피,,091580,KR7091580001,KOSDAQ
상신전자,,263810,KR7263810004,KOSDAQ
상아프론테크,,089980,KR7089980007,KOSDAQ
상지건설,,042940,KR7042940007,KOSDAQ
새로닉스,,042600,KR7042600007,KOSDAQ
새론오토모티브,,075180,KR7075180000,KOSPI
새빗켐,,107600,KR7107600009,KOSDAQ
샌즈랩,,411080,KR7411080005,KOSDAQ
샘씨엔에스,,252990,KR7252990007,KOSDAQ
샘표,,007540,KR7007540008,KOSPI
샘표식품,,248170,KR7248170003,KOSPI
샤페론,,378800,KR7378800007,KOSDAQ
서남,,294630,KR7294630009,KOSDAQ
서린바이오,,038070,KR7038070009,KOSDAQ
서부T&D,,006730,KR7006730006,KOSDAQ
서산,,079650,KR7079650008,KOSDAQ
서암기계공업,,100660,KR7100660000,KOSDAQ
서연,,007860,KR7007860000,KOSPI
서연이화,,200880,KR7200880003,KOSPI
서연탑메탈,,019770,KR7019770007,KOSDAQ
서울가스,,017390,KR7017390006,KOSPI
서울리거,,043710,KR7043710003,KOSDAQ
서울바이오시스,,092190,KR7092190008,KOSDAQ
서울반도체,,046890,KR7046890000,KOSDAQ
서울보증보험,,031210,KR7031210008,KOSPI
서울식품,,004410,KR7004410007,KOSPI
서울식품우,,004415,KR7004411005,KOSPI
서울옥션,,063170,KR7063170005,KOSDAQ
서울전자통신,,027040,KR7027040005,KOSDAQ
서울제약,,018680,KR7018680009,KOSDAQ
서울평가정보,,036120,KR7036120004,KOSDAQ
서원,,021050,KR7021050000,KOSPI
서원인텍,,093920,KR7093920007,KOSDAQ
서전기전,,189860,KR7189860000,KOSDAQ
서진시스템,,178320,KR7178320008,KOSDAQ
서진오토모티브,,122690,KR7122690001,KOSDAQ
서플러스글로벌,,140070,KR7140070004,KOSDAQ
서한,,011370,KR7011370004,KOSDAQ
서호전기,,065710,KR7065710006,KOSDAQ
서흥,,008490,KR7008490005,KOSPI
서희건설,,035890,KR7035890003,KOSDAQ
석경에이티,,357550,KR7357550003,KOSDAQ
선광,,003100,KR7003100005,KOSDAQ
선도전기,,007610,KR7007610009,KOSPI
선바이오,,067370,KR7067370007,KOSDAQ
선샤인푸드,,217620,KR7217620004,KOSDAQ
선익시스템,,171090,KR7171090004,KOSDAQ
선진,,136490,KR7136490000,KOSPI
선진뷰티사이언스,,086710,KR7086710001,KOSDAQ
성광벤드,,014620,KR7014620009,KOSDAQ
성도이엔지,,037350,KR7037350006,KOSDAQ
성문전자,,014910,KR7014910004,KOSPI
성문전자우,,014915,KR7014911002,KOSPI
성신양회,,004980,KR7004980009,KOSPI
성신양회우,,004985,KR7004981007,KOSPI
성안머티리얼스,,011300,KR7011300001,KOSPI
성우,,458650,KR7458650009,KOSDAQ
성우전자,,081580,KR7081580003,KOSDAQ
성우테크론,,045300,KR7045300001,KOSDAQ
성우하이텍,,015750,KR7015750003,KOSDAQ
성일하이텍,,365340,KR7365340009,KOSDAQ
성창기업지주,,000180,KR7000180000,KOSPI
성창오토텍,,080470,KR7080470008,KOSDAQ
성호전자,,043260,KR7043260009,KOSDAQ
세경하이테크,,148150,KR7148150006,KOSDAQ
세기상사,,002420,KR7002420008,KOSPI
세나테크놀로지,,061090,KR7061090007,KOSDAQ
세니젠,,188260,KR7188260004,KOSDAQ
세동,,053060,KR7053060000,KOSDAQ
세림B&G,,340440,KR7340440007,KOSDAQ
세명전기,,017510,KR7017510009,KOSDAQ
세미파이브,,490470,KR7490470002,KOSDAQ
세방,,004360,KR7004360004,KOSPI
세방우,,004365,KR7004361002,KOSPI
세방전지,,004490,KR7004490009,KOSPI
세보엠이씨,,011560,KR7011560000,KOSDAQ
세븐브로이맥주,,267080,KR7267080000,KONEX
세아메카닉스,,396300,KR7396300006,KOSDAQ
세아베스틸지주,,001430,KR7001430008,KOSPI
세아제강,,306200,KR7306200007,KOSPI
세아제강지주,,003030,KR7003030004,KOSPI
세아특수강,,019440,KR7019440007,KOSPI
세아홀딩스,,058650,KR7058650003,KOSPI
세우글로벌,,013000,KR7013000005,KOSPI
세운메디칼,,100700,KR7100700004,KOSDAQ
세원물산,,024830,KR7024830002,KOSDAQ
세원정공,,021820,KR7021820006,KOSPI
세이브존I&C,,067830,KR7067830000,KOSPI
세종메디칼,,258830,KR7258830009,KOSDAQ
세종텔레콤,,036630,KR7036630002,KOSDAQ
세중,,039310,KR7039310008,KOSDAQ
세진중공업,,075580,KR7075580001,KOSPI
세진티에스,,067770,KR7067770008,KOSDAQ
세코닉스,,053450,KR7053450003,KOSDAQ
세토피아,,222810,KR7222810004,KOSDAQ
세화피앤씨,,252500,KR7252500004,KOSDAQ
센서뷰,,321370,KR7321370009,KOSDAQ
센코,,347000,KR7347000002,KOSDAQ
셀레믹스,,331920,KR7331920009,KOSDAQ
셀레스트라,,352770,KR7352770002,KOSDAQ
셀로맥스사이언스,,471820,KR7471820001,KOSDAQ
셀루메드,,049180,KR7049180003,KOSDAQ
셀리드,,299660,KR7299660001,KOSDAQ
셀바스AI,,108860,KR7108860008,KOSDAQ
셀바스헬스케어,,208370,KR7208370007,KOSDAQ
셀바이오휴먼텍,,318160,KR7318160009,KOSDAQ
셀비온,,308430,KR7308430008,KOSDAQ
셀트리온,,068270,KR7068270008,KOSPI
셀트리온제약,,068760,KR7068760008,KOSDAQ
셀피글로벌,,068940,KR7068940006,KOSDAQ
소노스퀘어,,007720,KR7007720006,KOSDAQ
소룩스,,290690,KR7290690007,KOSDAQ
소마젠,,950200,KR8840150005,KOSDAQ
소프트센,,032680,KR7032680001,KOSDAQ
소프트센우,,032685,KR7032681009,KOSDAQ
소프트캠프,,258790,KR7258790005,KOSDAQ
손오공,,066910,KR7066910001,KOSDAQ
솔디펜스,,215090,KR7215090002,KOSDAQ
솔루스첨단소재,,336370,KR7336370002,KOSPI
솔루스첨단소재1우,,33637K,KR733637K010,KOSPI
솔루스첨단소재2우B,,33637L,KR733637K028,KOSPI
솔루엠,,248070,KR7248070005,KOSPI
솔본,,035610,KR7035610005,KOSDAQ
솔브레인,,357780,KR7357780006,KOSDAQ
솔브레인홀딩스,,036830,KR7036830008,KOSDAQ
솔트룩스,,304100,KR7304100001,KOSDAQ
솔트웨어,,328380,KR7328380001,KOSDAQ
송원산업,,004430,KR7004430005,KOSPI
쇼박스,,086980,KR7086980000,KOSDAQ
수산세보틱스,,017550,KR7017550005,KOSPI
수산아이앤티,,050960,KR7050960004,KOSDAQ
수산인더스트리,,126720,KR7126720002,KOSPI
수성웹툰,,084180,KR7084180009,KOSDAQ
수젠텍,,253840,KR7253840003,KOSDAQ
수프로,,185190,KR7185190006,KONEX
슈어소프트테크,,298830,KR7298830001,KOSDAQ
슈프리마,,236200,KR7236200002,KOSDAQ
슈프리마에이치큐,,094840,KR7094840006,KOSDAQ
슈피겐코리아,,192440,KR7192440006,KOSDAQ
스마트레이더시스템,,424960,KR7424960003,KOSDAQ
스맥,,099440,KR7099440000,KOSDAQ
스카이라이프,,053210,KR7053210001,KOSPI
스코넥,,276040,KR7276040003,KOSDAQ
스타에스엠리츠,,204210,KR7204210009,KOSPI
스타코링크,,060240,KR7060240009,KOSDAQ
스타플렉스,,115570,KR7115570004,KOSDAQ
스테이지원엔터,NSENM,078860,KR7078860004,KOSDAQ
스톤브릿지벤처스,,330730,KR7330730003,KOSDAQ
스톰테크,,352090,KR7352090005,KOSDAQ
스튜디오드래곤,,253450,KR7253450001,KOSDAQ
스튜디오미르,,408900,KR7408900009,KOSDAQ
스튜디오산타클로스,,204630,KR7204630008,KOSDAQ
스튜디오삼익,,415380,KR7415380005,KOSDAQ
스틱인베스트먼트,,026890,KR7026890004,KOSPI
스페코,,013810,KR7013810007,KOSDAQ
스피어,,347700,KR7347700007,KOSDAQ
승일,,049830,KR7049830003,KOSDAQ
시공테크,,020710,KR7020710000,KOSDAQ
시그네틱스,,033170,KR7033170002,KOSDAQ
시너지이노베이션,,048870,KR7048870000,KOSDAQ
시노펙스,,025320,KR7025320003,KOSDAQ
시디즈,,134790,KR7134790005,KOSPI
시선AI,,340810,KR7340810001,KOSDAQ
시스웍,,269620,KR7269620001,KOSDAQ
시지메드텍,,056090,KR7056090004,KOSDAQ
시지트로닉스,,429270,KR7429270002,KOSDAQ
시큐레터,,418250,KR7418250007,KOSDAQ
시큐브,,131090,KR7131090003,KOSDAQ
시프트업,,462870,KR7462870007,KOSPI
신대양제지,,016590,KR7016590002,KOSPI
신도기연,,290520,KR7290520006,KOSDAQ
신도리코,,029530,KR7029530003,KOSPI
신라교역,,004970,KR7004970000,KOSPI
신라섬유,,001000,KR7001000009,KOSDAQ
신라에스지,,025870,KR7025870007,KOSDAQ
신라젠,,215600,KR7215600008,KOSDAQ
신성델타테크,,065350,KR7065350001,KOSDAQ
신성에스티,,416180,KR7416180008,KOSDAQ
신성이엔지,,011930,KR7011930005,KOSPI
신세계,,004170,KR7004170007,KOSPI
신세계 I&C,,035510,KR7035510007,KOSPI
신세계인터내셔날,,031430,KR7031430002,KOSPI
신세계푸드,,031440,KR7031440001,KOSPI
신송홀딩스,,006880,KR7006880009,KOSPI
신스틸,,162300,KR7162300008,KOSDAQ
신시웨이,,290560,KR7290560002,KOSDAQ
신신제약,,002800,KR7002800001,KOSDAQ
신영스팩10호,,472220,KR7472220003,KOSDAQ
신영스팩11호,,0091W0,KR70091W0006,KOSDAQ
신영와코루,,005800,KR7005800008,KOSPI
신영증권,,001720,KR7001720002,KOSPI
신원,,009270,KR7009270000,KOSPI
신원종합개발,,017000,KR7017000001,KOSDAQ
신일전자,,002700,KR7002700003,KOSPI
신일제약,,012790,KR7012790002,KOSDAQ
신진에스엠,,138070,KR7138070008,KOSDAQ
신테카바이오,,226330,KR7226330009,KOSDAQ
신풍,,002870,KR7002870004,KOSPI
신풍제약,,019170,KR7019170000,KOSPI
신풍제약우,,019175,KR7019171008,KOSPI
신한글로벌액티브리츠,,481850,KR7481850006,KOSPI
신한서부티엔디리츠,,404990,KR7404990004,KOSPI
신한알파리츠,,293940,KR7293940003,KOSPI
신한제11호스팩,,452980,KR7452980006,KOSDAQ
신한제12호스팩,,474660,KR7474660008,KOSDAQ
신한제13호스팩,,474930,KR7474930005,KOSDAQ
신한제14호스팩,,487360,KR7487360000,KOSDAQ
신한제15호스팩,,487830,KR7487830002,KOSDAQ
신한제16호스팩,,496070,KR7496070004,KOSDAQ
신한지주,,055550,KR7055550008,KOSPI
신화인터텍,,056700,KR7056700008,KOSDAQ
신화콘텍,,187270,KR7187270004,KOSDAQ
신흥,,004080,KR7004080008,KOSPI
신흥에스이씨,,243840,KR7243840006,KOSDAQ
실리콘투,,257720,KR7257720003,KOSDAQ
심텍,,222800,KR7222800005,KOSDAQ
심텍홀딩스,,036710,KR7036710002,KOSDAQ
심플랫폼,,444530,KR7444530000,KOSDAQ
싸이닉솔루션,,234030,KR7234030005,KOSDAQ
